Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2016-06-09,1152.75,1152.25,1157.5,1135.5,1150.25,2.5,0.0021734405564007822,1.3784753363228686,22.0,1.0193747247908411,0.019126276896326885,1142.9,1103.1833333333334,1076.85,1141.4029876488055,74.37897964557169,72.72440678303856,74.83848446604071,68.49625141703427,2.6629837168345376,72.69985134238664,6.8800000000000185
2016-06-08,1150.25,1177.5,1189.25,1138.0,1141.25,9.0,0.007886089813800658,1.375485799701045,51.25,1.0450351493848857,0.044906900328587074,1141.2,1098.0166666666667,1072.7083333333333,1135.7294814732084,74.90898865505005,74.13815656631043,75.89552330754178,70.62342308384771,2.6068553302614865,72.27501775272194,4.8599999999999905
2016-06-07,1141.25,1137.0,1148.75,1129.0,1138.25,3.0,0.002635624862727872,1.36472346786248,19.75,1.0174933569530558,0.017351197012958487,1131.1,1093.35,1068.6083333333333,1128.4692222098126,72.78139422680078,77.28970907626977,76.77420667815744,78.32071387249442,2.4192261522887155,70.75361630202104,12.540000000000054
2016-06-06,1138.25,1139.0,1162.0,1136.0,1132.0,6.25,0.005521201413427562,1.3611360239162917,26.0,1.022887323943662,0.022968197879858657,1118.55,1088.2333333333333,1064.225,1122.078833314719,71.8590045875685,78.0789837456957,76.51645547910127,81.20404027888455,2.3611504543447626,70.2482821407962,23.54000000000001
2016-06-03,1132.0,1132.0,1169.0,1127.25,1144.25,-12.25,-0.010705702425169324,1.3536621823617327,41.75,1.037037037037037,0.03648678173476076,1108.2,1083.35,1059.4916666666666,1113.9932499720787,67.88841851049347,79.3694716344798,75.73519134580405,86.63803221183127,2.248801633917472,69.21941956812613,23.94000000000001
2016-06-02,1144.25,1140.0,1146.0,1100.75,1099.75,44.5,0.040463741759490794,1.3683109118086685,45.25,1.0411083352259822,0.041145714935212546,1097.75,1079.35,1056.0083333333334,1104.9898749581182,61.782163900934336,83.7952433082934,73.91805120146618,103.54962752194783,2.8268140144911174,73.86860202211896,19.4
2016-06-01,1099.75,1101.0,1102.5,1068.0,1078.5,21.25,0.019703291608715808,1.3150971599402081,34.5,1.0323033707865168,0.031988873435326845,1086.0,1074.95,1051.8333333333333,1085.3598124371772,36.500529813336314,76.54652349902545,68.97945514805257,91.68066020097123,1.9598017687364233,66.21395356396073,5.7
2016-05-31,1078.5,1090.5,1096.0,1077.0,1086.5,-8.0,-0.007363092498849517,1.2896860986547074,19.0,1.0176415970287838,0.017487344684767602,1077.0,1073.9,1048.3333333333333,1078.164718655766,29.11207809270538,67.15029372311444,65.19592097256613,71.05903922421109,1.5753521172280218,61.17035828574971,8.9
2016-05-27,1086.5,1086.0,1090.75,1071.75,1079.75,6.75,0.0062514470942347765,1.299252615844543,19.0,1.0177280149288548,0.017596665894883075,1073.0,1070.4333333333334,1044.4833333333333,1077.997077983649,32.801367482142325,68.6153488415524,64.21873459729197,77.40857733007326,1.8199451877965176,64.53831782519887,13.1
2016-05-26,1079.75,1079.0,1098.0,1073.25,1085.5,-5.75,-0.0052970981114693685,1.2911808669656193,24.75,1.0230607966457024,0.0228005527406725,1070.55,1066.9833333333333,1040.4083333333333,1073.7456169754735,29.964889330570294,63.47348197792494,62.020427475161746,66.37959098345134,1.6982998102575508,62.93962604902119,11.14000000000001
