Date,Open,High,Low,Close,Adj Close
2019-03-19,1565.530029,1570.890015,1552.660034,1554.98999,1554.98999
2019-03-20,1554.719971,1561.73999,1535.410034,1543.160034,1543.160034
2019-03-21,1541.829956,1569.349976,1538.359985,1562.410034,1562.410034
2019-03-22,1561.969971,1561.969971,1505.880005,1505.920044,1505.920044
2019-03-25,1505.869995,1520.48999,1494.98999,1512.859985,1512.859985
2019-03-26,1513.76001,1535.869995,1513.76001,1528.170044,1528.170044
2019-03-27,1527.969971,1530.050049,1505.76001,1522.22998,1522.22998
2019-03-28,1522.890015,1536.439941,1520.119995,1535.099976,1535.099976
2019-03-29,1536.609985,1546.97998,1532.22998,1539.73999,1539.73999
2019-04-01,1542.890015,1556.400024,1542.890015,1556.060059,1556.060059
2019-04-02,1556.079956,1556.130005,1545.550049,1553.319946,1553.319946
2019-04-03,1554.880005,1568.400024,1554.880005,1560.910034,1560.910034
2019-04-04,1561.069946,1567.5,1558.359985,1567.48999,1567.48999
2019-04-05,1568.22998,1582.609985,1568.22998,1582.560059,1582.560059
2019-04-08,1581.349976,1581.349976,1571.209961,1579.0,1579.0
2019-04-09,1577.51001,1577.51001,1558.390015,1559.680054,1559.680054
2019-04-10,1560.02002,1581.650024,1560.02002,1581.550049,1581.550049
2019-04-11,1581.930054,1583.72998,1577.369995,1579.140015,1579.140015
2019-04-12,1581.380005,1589.72998,1580.22998,1584.800049,1584.800049
2019-04-15,1585.170044,1587.97998,1574.72998,1579.170044,1579.170044
2019-04-16,1580.26001,1585.430054,1579.48999,1582.790039,1582.790039
2019-04-17,1584.130005,1588.599976,1561.569946,1567.599976,1567.599976
2019-04-18,1567.089966,1569.199951,1556.109985,1565.75,1565.75
2019-04-22,1565.219971,1565.219971,1554.459961,1560.040039,1560.040039
2019-04-23,1560.530029,1587.579956,1560.530029,1585.089966,1585.089966
2019-04-24,1585.109985,1594.030029,1583.359985,1588.130005,1588.130005
2019-04-25,1587.050049,1587.050049,1565.459961,1575.609985,1575.609985
2019-04-26,1575.660034,1591.25,1574.060059,1589.900024,1589.900024
2019-04-29,1591.930054,1603.079956,1591.930054,1598.359985,1598.359985
2019-04-30,1598.550049,1600.290039,1580.900024,1591.209961,1591.209961
2019-05-01,1593.47998,1595.849976,1576.130005,1576.380005,1576.380005
